30.12.2015 17:07:37 | libImport        - log                    | INFO     | arichter     | START
30.12.2015 17:08:45 | libImport        - log                    | INFO     | arichter     | START
30.12.2015 17:09:42 | libImport        - log                    | INFO     | arichter     | START
30.12.2015 17:10:46 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v005_ar.ma
30.12.2015 17:11:12 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v005_ar.ma
30.12.2015 17:14:21 | libImport        - log                    | INFO     | arichter     | START
30.12.2015 17:15:31 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v006_ar.ma
30.12.2015 17:15:42 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v006_ar.ma
30.12.2015 17:15:58 | libImport        - log                    | INFO     | arichter     | START
30.12.2015 17:16:59 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v007_ar.ma
30.12.2015 17:17:06 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v007_ar.ma
06.01.2016 16:41:33 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v006_ar.ma
06.01.2016 16:41:36 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v006_ar.ma
06.01.2016 16:45:27 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v007_ar.ma
06.01.2016 16:45:29 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v007_ar.ma
06.01.2016 16:46:11 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v008_ar.ma
06.01.2016 16:46:16 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v008_ar.ma
06.01.2016 16:46:31 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v008_ar.ma
06.01.2016 16:46:33 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v008_ar.ma
06.01.2016 16:47:42 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v008_ar.ma
06.01.2016 16:47:44 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v008_ar.ma
06.01.2016 16:49:10 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v008_ar.ma
06.01.2016 16:49:12 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v008_ar.ma
06.01.2016 16:50:21 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v008_ar.ma
06.01.2016 16:50:23 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v008_ar.ma
06.01.2016 16:51:27 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v008_ar.ma
06.01.2016 16:51:29 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v008_ar.ma
