18.02.2016 15:24:53 | arReport         - clicked_saveToHistory  | INFO     | arichter     | ReportToHistory : 2016_02_17_17_34_53
18.02.2016 15:25:01 | arReport         - log                    | INFO     | arichter     | START
10.03.2016 20:47:19 | arReport         - log                    | INFO     | arichter     | START
10.03.2016 20:47:35 | arReport         - clicked_saveToHistory  | INFO     | arichter     | ReportToHistory : 2016_01_13_11_51_26
10.03.2016 21:29:31 | arReport         - log                    | INFO     | arichter     | START
10.03.2016 21:29:53 | arReport         - log                    | INFO     | arichter     | START
10.03.2016 21:54:42 | arReport         - log                    | INFO     | arichter     | START
10.03.2016 21:54:45 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
10.03.2016 21:54:51 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
10.03.2016 21:54:59 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
10.03.2016 21:55:58 | arReport         - saveFile               | INFO     | arichter     | END : REPORT : 2016_03_10_21_55_58
10.03.2016 21:56:00 | arReport         - log                    | INFO     | arichter     | START
10.03.2016 21:56:10 | arReport         - log                    | INFO     | arichter     | START
11.03.2016 12:04:11 | arReport         - log                    | INFO     | arichter     | START
05.04.2016 11:29:47 | arReport         - log                    | INFO     | arichter     | START
06.04.2016 14:26:29 | arReport         - log                    | INFO     | nmaderthoner | START
06.04.2016 14:26:47 | arReport         - saveFile               | INFO     | nmaderthoner | END : REPORT : 2016_04_06_14_26_47
06.04.2016 14:27:00 | arReport         - log                    | INFO     | nmaderthoner | START
06.04.2016 14:27:03 | libRender        - createScreenshot       | INFO     | nmaderthoner | Screenshot
06.04.2016 14:27:07 | arReport         - log                    | INFO     | nmaderthoner | START
06.04.2016 14:28:09 | arReport         - clicked_cancel         | INFO     | nmaderthoner | END : CANCEL
06.04.2016 14:34:18 | arReport         - log                    | INFO     | arichter     | START
06.04.2016 14:39:10 | arReport         - log                    | INFO     | arichter     | START
06.04.2016 14:39:36 | arReport         - clicked_saveToHistory  | INFO     | arichter     | ReportToHistory : 2016_04_06_14_26_47
06.04.2016 14:40:41 | arReport         - log                    | INFO     | arichter     | START
04.05.2016 15:34:28 | arReport         - log                    | INFO     | arichter     | START
12.05.2016 14:24:32 | arReport         - log                    | INFO     | arichter     | START
17.05.2016 13:37:41 | arReport         - log                    | INFO     | joberbeck    | START
17.05.2016 13:38:32 | arReport         - saveFile               | INFO     | joberbeck    | END : REPORT : 2016_05_17_13_38_32
17.05.2016 15:39:40 | arReport         - log                    | INFO     | arichter     | START
17.05.2016 15:39:55 | arReport         - clicked_saveToHistory  | INFO     | arichter     | ReportToHistory : 2016_05_17_13_38_32
17.05.2016 17:52:32 | arReport         - log                    | INFO     | arichter     | START
17.05.2016 18:39:56 | arReport         - log                    | INFO     | arichter     | START
17.05.2016 18:40:01 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
17.05.2016 18:40:13 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
17.05.2016 18:41:22 | arReport         - saveFile               | INFO     | arichter     | END : REPORT : 2016_05_17_18_41_22
17.05.2016 18:41:25 | arReport         - log                    | INFO     | arichter     | START
17.05.2016 18:41:36 | arReport         - log                    | INFO     | arichter     | START
17.05.2016 19:18:19 | arReport         - log                    | INFO     | arichter     | START
19.05.2016 12:58:05 | arReport         - log                    | INFO     | arichter     | START
19.05.2016 12:58:49 | arReport         - clicked_saveToHistory  | INFO     | arichter     | ReportToHistory : 2015_12_30_17_22_08
19.05.2016 14:17:14 | arReport         - log                    | INFO     | arichter     | START
20.05.2016 11:43:04 | arReport         - log                    | INFO     | joberbeck    | START
20.05.2016 11:43:27 | arReport         - saveFile               | INFO     | joberbeck    | END : REPORT : 2016_05_20_11_43_27
20.05.2016 13:29:03 | arReport         - log                    | INFO     | arichter     | START
20.05.2016 13:48:53 | arReport         - log                    | INFO     | arichter     | START
20.05.2016 14:00:27 | arReport         - log                    | INFO     | arichter     | START
20.05.2016 14:00:36 | arReport         - clicked_saveToHistory  | INFO     | arichter     | ReportToHistory : 2016_05_20_11_43_27
23.05.2016 16:39:11 | arReport         - log                    | INFO     | arichter     | START
23.05.2016 16:39:14 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
23.05.2016 16:39:40 | arReport         - saveFile               | INFO     | arichter     | END : REPORT : 2016_05_23_16_39_40
24.05.2016 16:14:48 | arReport         - log                    | INFO     | jtegethoff   | START
24.05.2016 16:15:43 | libRender        - createScreenshot       | INFO     | jtegethoff   | Screenshot
24.05.2016 16:15:49 | arReport         - saveFile               | INFO     | jtegethoff   | END : REPORT : 2016_05_24_16_15_49
24.05.2016 16:42:02 | arReport         - log                    | INFO     | arichter     | START
24.05.2016 16:42:23 | arReport         - clicked_saveToHistory  | INFO     | arichter     | ReportToHistory : 2016_05_24_16_15_49
28.05.2016 11:19:22 | arReport         - log                    | INFO     | arichter     | START
28.05.2016 11:19:26 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
28.05.2016 11:19:34 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
28.05.2016 11:19:58 | arReport         - saveFile               | INFO     | arichter     | END : REPORT : 2016_05_28_11_19_58
28.05.2016 12:45:48 | arReport         - log                    | INFO     | arichter     | START
28.05.2016 12:46:11 | arReport         - log                    | INFO     | arichter     | START
28.05.2016 15:22:58 | arReport         - log                    | INFO     | arichter     | START
30.05.2016 11:07:39 | arReport         - log                    | INFO     | arichter     | START
30.05.2016 17:08:41 | arReport         - log                    | INFO     | arichter     | START
30.05.2016 17:08:47 | arReport         - clicked_saveToHistory  | INFO     | arichter     | ReportToHistory : 2016_05_28_11_19_58
30.05.2016 17:09:32 | arReport         - log                    | INFO     | arichter     | START
30.05.2016 17:09:38 | arReport         - log                    | INFO     | arichter     | START
30.05.2016 17:09:56 | arReport         - clicked_saveToHistory  | INFO     | arichter     | ReportToHistory : 2016_01_12_15_04_10
30.05.2016 17:09:56 | arReport         - clicked_saveToHistory  | INFO     | arichter     | ReportToHistory : 2016_05_17_18_41_22
30.05.2016 17:09:56 | arReport         - clicked_saveToHistory  | INFO     | arichter     | ReportToHistory : 2016_01_09_02_47_29
30.05.2016 17:11:05 | arReport         - clicked_saveToHistory  | INFO     | arichter     | ReportToHistory : 2016_05_23_16_39_40
30.05.2016 17:11:05 | arReport         - clicked_saveToHistory  | INFO     | arichter     | ReportToHistory : 2016_02_18_15_24_23
30.05.2016 17:11:05 | arReport         - clicked_saveToHistory  | INFO     | arichter     | ReportToHistory : 2016_03_10_21_55_58
30.05.2016 18:52:17 | arReport         - log                    | INFO     | arichter     | START
30.05.2016 18:52:27 | arReport         - log                    | INFO     | arichter     | START
30.05.2016 18:52:30 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
30.05.2016 18:52:40 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
30.05.2016 18:52:44 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
30.05.2016 18:52:53 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
30.05.2016 18:53:02 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
30.05.2016 19:01:21 | arReport         - saveFile               | INFO     | arichter     | END : REPORT : 2016_05_30_19_01_21
31.05.2016 11:18:27 | arReport         - log                    | INFO     | mlange       | START
31.05.2016 11:18:41 | libRender        - createScreenshot       | INFO     | mlange       | Screenshot
31.05.2016 11:19:17 | arReport         - clicked_btnHelp        | INFO     | mlange       | HELP
31.05.2016 17:41:35 | arReport         - log                    | INFO     | mlange       | START
31.05.2016 17:42:34 | arReport         - saveFile               | INFO     | mlange       | END : REPORT : 2016_05_31_17_42_34
08.06.2016 22:40:00 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 18:47:35 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 18:52:20 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 18:53:19 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 21:53:41 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 21:54:48 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 21:55:20 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 21:55:51 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 22:00:44 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 22:00:48 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
11.06.2016 22:02:34 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 22:05:04 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 22:05:34 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 22:06:55 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 22:08:40 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 22:10:48 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 22:13:56 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 22:15:13 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 22:15:36 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 22:16:17 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 22:16:46 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 22:19:28 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 22:21:01 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 22:21:07 | arReport         - clicked_openFile       | ERROR    | arichter     | FAIL : LOAD : //bigfoot/revierkampf/40_shots/s900_animaticML/20_ANIM/WORK/s900_animaticML_ANIM_v001_ar.mb
Traceback (most recent call last):
  File "\\bigfoot\revierkampf\_pipeline\WORK\utilities\arReport.py", line 342, in clicked_openFile
    mel.eval('file -f -options "v=0;"  -ignoreVersion  -typ "' + FILE_FORMAT_CODE[s.FILE_FORMAT[os.environ["SOFTWARE"]]] + '" -o "' + SAVE_DIR + '"')
NameError: global name 'FILE_FORMAT_CODE' is not defined
11.06.2016 22:21:31 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 22:21:38 | arReport         - clicked_openFile       | INFO     | arichter     | END  : LOAD : //bigfoot/revierkampf/40_shots/s900_animaticML/20_ANIM/WORK/s900_animaticML_ANIM_v001_ar.mb
11.06.2016 22:23:36 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 22:29:21 | arReport         - log                    | INFO     | arichter     | START
11.06.2016 22:34:31 | arReport         - log                    | INFO     | arichter     | START
